N° Club;Club
09140007;CAENNAISE AG
09140009;A.G.DEAUVILLE/PONT-L'EVEQUE
09140012;CABOURG TT
09140013;CONDE/ SLSN
09140014;BAYEUX TT
09140023;VIROISE USM
09140032;LISIEUX ASTT
09140052;TROARN TT
09140055;OUISTREHAM AP
09140063;FRENOUVILLE TT
09140071;C HONFLEURAIS TT
09140071;C HONFLEURAISTT
09140072;FALAISE ES
09140078;ST ANDRE/ORNE USSA
09140115;VILLERS BOCAGE
09140123;FLEURY S/O CSP
09140128;AS Cormelles TT
09140156;CAEN TTC
09140174;THAON CREULLY TT
09140224;TOURVILLE ASLO
09140235;MONDEVILLE TT
09270004;TT BRIONNE
09270005;CAPA TT
09270006;EVREUX EC
09270015;CS ANDELYS
09270021;SAINT MARCEL TT
09270060;CROTH TT
09270063;TT DE L ARCHE
09270069;E. GISORS TT
09270071;AS VAUDREUIL TT
09270089;AP PACYMENILLES
09270110;ST PHILBERT AC
09270112;U S ETREPAGNY T
09270139;US GRAVIGNY TT
09270148;U.S FIDELAIRE T
09270151;NQTT
09270152;GAILLONAUBEVOYE
09270156;CSBRTT
09270162;VAL DE REUIL TT
09270177;Thiberville TT
09270181;GUICHAINVILLE
09270187;AS HONG LANDIN
09500003;SAINT LO PL
09500009;CHERBOURG US
09500011;BRICQUEBEC UC
09500012;EQUEURDREVILLE
09500013;COUTANCES JA
09500015;MONTEBOURG SAEL
09500022;OC AGNEAUX
09500025;ISIGNY-MONTIGNY
09500027;CARANTILLAISE
09500030;CHERBOURG ASTT
09500048;SAINT JAMES TT
09500053;ST JEAN CHAMPS
09500058;CARENTANAIS CL
09500059;ATT DUCEY / AVRANCHES
09500059;ATT DUCEY AVRANCHES
09500063;DONVILLE USM
09500073;TORIGNAISE ESTT
09500093;QUERQUEVILLE AS
09500112;ST HILAIRE/PARIGNY
09500117;SAINT PAIR BRICQUEVILLE TT
09500124;LES PIEUX TT
09500131;MORTAIN ENT
09500143;ASSUN TT
09500153;BREHAL SAEL
09500159;ST PIERRE EGLISE
09500163;FEUILLIE CREANCES
09610002;ARGENTAN BAYARD
09610004;FLERIEN TT
09610009;ALENCON ETOILE
09610031;ATHIS CTT
09610056;BRIOUZAIN OC
09610087;ST GERMAIN DU CORBEIS
09610119;MORTAGNE USTT
09610135;ACATT
09610142;FERTE FRESNEL
09760004;SPO ROUEN
09760007;CEP ST NICOLAS
09760011;S SOTTEVILLAIS
09760014;CP YVETOT
09760018;CP QUEVILLAIS
09760025;CS AUFFAY
09760034;ETT OISSEL
09760036;Dieppe U C TT
09760041;CP PAVILLY
09760107;ALCL GD QUEVILLY
09760107;GRAND QUEVILLY ALCL
09760108;MESNIL ESNARD TT
09760127;ES ARQUES
09760129;ASC BONSECOURS
09760136;Ent TS BOLBEC/CL NOINTOT
09760157;MT ST AIGNAN TT
09760168;SAINT PIERRAISE ENT
09760201;CP BUCHY
09760218;GRD COURONNE TT
09760221;AA COURONNE
09760266;U S FECAMPOISE
09760270;FJ LA REMUEE TT
09760291;MONTIVILLIERS
09760297;RS ENVERMEU
09760315;AMFTT
09760319;E BOOS MTT
09760331;US C BOIS GUILLAUME
09760333;AS ST ETIENNE ROUVRAY
09760351;FRANQUEVILLE ST
09760352;PLATEAU HAVRAIS
09760366;LA CRIQUE TT
09760374;FR ISNEAUVILLE
09760382;RACING CLUB PORT HAVRE
09760396;AS MOTTEVILLE
09760403;CP GRANDCAMP
09760414;ATT HAVRE
09760416;TT BULLY
09760417;RF HEUQUEVILLE
09760420;BRETTEVILLE DU
09760425;CAMA TT
09760442;LE TRAIT YAINVILLE
09760458;Safran NS
