insee_code,city_code,zip_code,label,latitude,longitude,department_name,department_number,region_name,region_geojson_name
32463,viella,32400,viella,43.600278527,-0.138670723,gers,32,occitanie,Occitanie
32466,viozan,32300,viozan,43.394817216,0.46982132,gers,32,occitanie,Occitanie
32468,aussos,32140,aussos,43.375264706,0.6408301940000001,gers,32,occitanie,Occitanie
34013,aspiran,34800,aspiran,43.567190207,3.448321556,hérault,34,occitanie,Occitanie
34015,assignan,34360,assignan,43.40024822,2.886676394,hérault,34,occitanie,Occitanie
34018,autignac,34480,autignac,43.500033193,3.167412624,hérault,34,occitanie,Occitanie
34028,bedarieux,34600,bedarieux,43.612734226,3.166249797,hérault,34,occitanie,Occitanie
34034,boisset,34220,boisset,43.401591392,2.690525826,hérault,34,occitanie,Occitanie
34036,le bosc,34700,le bosc,43.695979509,3.387223961,hérault,34,occitanie,Occitanie
34043,buzignargues,34160,buzignargues,43.771589195,3.995144721,hérault,34,occitanie,Occitanie
34046,cambon et salvergues,34330,cambon et salvergues,43.625517118,2.890267725,hérault,34,occitanie,Occitanie
34049,camplong,34260,camplong,43.689109153,3.11209293,hérault,34,occitanie,Occitanie
34054,cassagnoles,34210,cassagnoles,43.397092609,2.602028208,hérault,34,occitanie,Occitanie
34057,castelnau le lez,34170,castelnau le lez,43.637724723,3.912419233,hérault,34,occitanie,Occitanie
34074,cessenon sur orb,34460,cessenon sur orb,43.454424304,3.040666458,hérault,34,occitanie,Occitanie
34075,cesseras,34210,cesseras,43.331394272,2.704254225,hérault,34,occitanie,Occitanie
34082,combaillaux,34980,combaillaux,43.672192358,3.778904511,hérault,34,occitanie,Occitanie
34090,le cres,34920,le cres,43.652900646,3.936336459,hérault,34,occitanie,Occitanie
34099,ferrieres les verreries,34190,ferrieres les verreries,43.867525862,3.799826906,hérault,34,occitanie,Occitanie
34103,fontes,34320,fontes,43.542129033,3.390105629,hérault,34,occitanie,Occitanie
34106,fozieres,34700,fozieres,43.751097395,3.356438234,hérault,34,occitanie,Occitanie
34108,frontignan,34110,frontignan,43.44813198,3.749580097,hérault,34,occitanie,Occitanie
34111,ganges,34190,ganges,43.945543763,3.705111824,hérault,34,occitanie,Occitanie
34127,lansargues,34130,lansargues,43.636956425,4.08287962,hérault,34,occitanie,Occitanie
34130,laurens,34480,laurens,43.522315551,3.199781498,hérault,34,occitanie,Occitanie
34135,lespignan,34710,lespignan,43.273320675,3.169990553,hérault,34,occitanie,Occitanie
34136,lezignan la cebe,34120,lezignan la cebe,43.492281954,3.438155894,hérault,34,occitanie,Occitanie
34144,lunas,34650,lunas,43.708863391,3.206271404,hérault,34,occitanie,Occitanie
34145,lunel,34400,lunel,43.682149094,4.135918439,hérault,34,occitanie,Occitanie
34146,lunel viel,34400,lunel viel,43.682683118,4.08415587,hérault,34,occitanie,Occitanie
