Id_Club;Nom du club;Équipe;Division;
9140167;FONTAINE-ETOUPEFOUR TT;FONTAINE LE BOURG TT 1;R3M;
9270004;TT BRIONNE;BRIONNE TT 1;R4M;
9270004;TT BRIONNE;BRIONNETT 1;R4M;
9270006;EVREUX ETUDIANTS CERCLE;EVREUX EC 2;R3M;
9270006;EVREUX ETUDIANTS CERCLE;EVREUX EC 3;R4M;
9270015;CS ANDELYS;LES ANDELYS CS 1;R3M;
9270021;SAINT MARCEL TT  SMTT;SAINT MARCEL TT 1;R3M;
9270060;CROTH - EZY-GARENNES TT;CROTH TT 1;R4M;
9270063;TT DE L ARCHE;DE L’ARCHE TT 2;R3M;
9270063;TT DE L ARCHE;TT DE L’ARCHE 2;R3M;
9270063;TT DE L ARCHE;DE L’ARCHE TT 3;R4M;
9270069;ENTENTE GISORSIENNE T.T;GISORS E TT 1;R3M;
9270071;AS VAUDREUIL TENNIS TABLE;LE VAUDREUIL AS TT 1;R3M;
9270089;AMICALE PONG PACY MENILLES;PACY M2NILLES AP 3;R4M;
9270089;AMICALE PONG PACY MENILLES;PACY MENILLES AP 2;R4M;
9270089;AMICALE PONG PACY MENILLES;PACY MENILLES AP 3;R4M;
9270110;ST PHILBERT ATHLETIC CLUB;SAINT PHILBERT AC 1;R4M;
9270139;US GRAVIGNY TT;GRAVIGNY US TT 2;R3M;
9270139;US GRAVIGNY TT;GRAVIGNY US TT 3;R4M;
9270148;U.S FIDELAIRE TENNIS DE TABLE;FIDELAIRE US 1;R4M;
9270151;NEUBOURG QUITTEBEUF TT;NEUBOURD QUITTEBEUF TT 5;R4M;
9270151;NEUBOURG QUITTEBEUF TT;NEUBOURG QUITTEBEUF TT 5;R4M;
9270152;GAILLON AUBEVOYE TT;GAILLON AUBEVOYE 1;R4M;
9270156;C. S. BEAUMONT TT;BEAUMONT LE ROGER 1;R3M;
9270156;C. S. BEAUMONT TT;BEAUMONT LE ROGER TT 1;R3M;
9270162;VAL DE REUIL CSTT;VAL DE REUIL TT 1;R3M;
9270177;THIBERVILLE TT;THIBERVILLE TT 1;R3M;
9270181;GUICHAINVILLE TT;GUICHAINVILLE 1;R4M;
9270181;GUICHAINVILLE TT;GUICHAINVILLE 2;R4M;
9270187;AS HONGUEMARE-LE LANDIN;HONG LANDIN AS 3;R3M;
9760004;SPO ROUEN Tennis de Table;ROUEN SPO TT 8;R3M;
9760004;SPO ROUEN Tennis de Table;ROUEN SPO TT 9;R4M;
9760004;SPO ROUEN Tennis de Table;ROUEN SPOTT 9;R4M;
9760007;CEP ST NICOLAS ALIERMONT;SAINT NICOLAS CEP;R3M;
9760007;CEP ST NICOLAS ALIERMONT;SAINT NICOLAS CEP 2;R3M;
9760007;CEP ST NICOLAS ALIERMONT;SAINT NICOLAS CEP 3;R4M;
9760011;S SOTTEVILLAIS CHEMN C;SOTTEVIIIIIE S 1;R3M;
9760011;S SOTTEVILLAIS CHEMN C;SOTTEVILLE S 1;R3M;
9760014;CP YVETOT;YVETOT CP 2;R3M;
9760014;CP YVETOT;YVETOT CP 3;R4M;
9760018;CP QUEVILLAIS;QUEVILLY CP 5;R3M;
9760018;CP QUEVILLAIS;QUEVILLY CP 6;R4M;
9760025;Cercle Sportif Altifagien;AUFFAY CS 2;R4M;
9760034;Entente Tennis de Table d'OISSEL;OISSEL ETT 2;R4M;
9760036;DIEPPE UNIVERSITAIRE CLUB;DIEPPE UC 1;R3M;
9760036;DIEPPE UNIVERSITAIRE CLUB;DIEPPE UC TT 1;R3M;
9760041;CP PAVILLY;PAVILLY CP 3;R4M;
9760041;CP PAVILLY;PAVILLY CP 4;R4M;
9760107;ALCL TT GRAND QUEVILLY;GRAND QUEVILLY ALCL TT 4;R3M;
9760108;MESNIL-ESNARDTT;MESNIL ESNARD TT 1;R4M;
9760127;Etoile Sportive Arquaise;ARQUES ES 1;R4M;
9760129;ASC BONSECOURS;BONSECOURS AS C 2;R3M;
9760129;ASC BONSECOURS;BONSECOURS ASC 2;R3M;
9760157;MONT SAINT AIGNAN TT;MONT SAINT AIGNAN TT 2;R3M;
9760157;MONT SAINT AIGNAN TT;MONT SAINT AIGNAN TT2;R3M;
9760157;MONT SAINT AIGNAN TT;MONT SAINT AIGNAN TT 3;R4M;
9760168;ENTENTE SAINT PIERRAISE TT;ENTENTE SAINT PIERRE 7;R4M;
9760168;ENTENTE SAINT PIERRAISE TT;ENTENTE SAINT PIERRE TT 7;R4M;
9760168;ENTENTE SAINT PIERRAISE TT;ENTENTE SAINT PIERRE TT 8;R4M;
9760201;CP BUCHY;BUCHY CP 1;R4M;
9760218;GRAND COURONNE TENNIS DE TABLE;GRAND COURONNE TT 1;R3M;
9760270;FJ LA REMUEE TT;LA REMUEE FJ TT 2;R4M;
9760291;MONTIVILLIERS Tennis de Table;MONTIVILLIERS  1;R3M;
9760291;MONTIVILLIERS Tennis de Table;MONTIVILLIERS 1;R3M;
9760291;MONTIVILLIERS Tennis de Table;MONTIVILLIERS 2;R4M;
9760291;MONTIVILLIERS Tennis de Table;MONTIVILLIERS TT 2;R4M;
9760297;RAQUETTE SPORTIVE ENVERMEU;ENVERMEU RS 1;R4M;
9760319;ELAN BOESIEN POUR LA MAITRISE T;BOOS 3 MTT 1;R4M;
9760319;ELAN BOESIEN POUR LA MAITRISE T;BOOS MTT 1;R4M;
9760331;US C BOIS GUILLAUME;BOIS GUILLAUME US C 4;R3M;
9760331;US C BOIS GUILLAUME;BOIS GUILLAUME USC 4;R3M;
9760333;ASTT76;SAINT ETIENNE DU ROUVRAY 1;R3M;
9760333;ASTT76;SAINT ETIENNE DU ROUVRAY AS 1;R3M;
9760333;ASTT76;St ETIENNE DU ROUVRAY AS 1;R3M;
9760351;PING FRANQUEVILLAIS;FRANQUEVILLE SAINT PIERRE 1;R4M;PNM
9760351;PING FRANQUEVILLAIS;FRANQUEVILLE SAINT PIERRE 3;R4M;
9760352;PLATEAU HAVRAIS TT;PLATEAU HAVRAIS 1;R4M;
9760366;LA CRIQUE  TT;LA CRIQUE TT 1;R4M;
9760374;FOYER  RURAL ISNEAUVILLE;1ISNEAUVILLE FR 1;R3M;
9760374;FOYER  RURAL ISNEAUVILLE;ISNEAUVILLE FR 1;R3M;
9760382;RACING CLUB PORT DU HAVRE;PORT DU HAVRE RC;R3M;
9760382;RACING CLUB PORT DU HAVRE;PORT DU HAVRE RC 1;R3M;
9760382;RACING CLUB PORT DU HAVRE;PORT DU HAVRE RC 2;R4M;
9760382;RACING CLUB PORT DU HAVRE;PORT DU HAVRE RC 3;R4M;
9760382;RACING CLUB PORT DU HAVRE;PORT DU HAVRE RC 4;R4M;
9760382;RACING CLUB PORT DU HAVRE;PORT DU HAVRERC 3;R4M;
9760396;AS Motteville Tennis de Table;MOTTEVILLE AS 1;R3M;
9760396;AS Motteville Tennis de Table;MOTTEVILLEAS 1;R3M;
9760403;CP GRANDCAMP;GRANDCAMP CP 1;R4M;
9760403;CP GRANDCAMP;GRANSCAMP CP 1;R4M;
9760414;ASSOC. TENNIS DE TABLE DU HAVRE;LE HAVRE ATT 7;R3M;
9760414;ASSOC. TENNIS DE TABLE DU HAVRE;LE HAVRE ATT 8;R4M;
9760417;RF HEUQUEVILLE;HEUQUEVILLE RF 1;R4M;
9760417;RF HEUQUEVILLE;HEUQUEVILLE RF1;R4M;
9760420;BRETTEVILLE DU GRAND CAUX FS TT;BRETTEVILLE DU GRAND CAUX 1;R3M;
9760425;CANTELEU MAROMME TT;CANTELEU MAROMME TT 2;R3M;
9760458;SAFRAN NACELLES NORMANDIE SPORTS;SAFRAN NS 1;R3M;
