N° Club;Équipe;Division;Jour souhaité;Arbitrage
09760107;ALCL GD QUEV. 3;PNF;;
09270004;BRIONNE / ST PHILBERT ENT 1;PNF;;
09140012;CABOURG / PONT L'EVEQUE ENT 1;PNF;;
09760041;CP PAVILLY 1;PNF;;
09270151;NQTT 1;PNF;;
09270089;PACYMENILLES / EVREUX ENT 1;PNF;;
09760107;QUEVILLY CP 2;PNF;;
09760168;ST PIERRE / LANDIN / CAUDEBEC ENT 4;PNF;;
09610002;ARGENTAN BAYARD 2;PNM;;
09760414;ATT HAVRE 3;PNM;;
09140014;BAYEUX TT 1;PNM;;
09140156;CAEN TTC 2;PNM;;
09140156;CAEN TTC 3;PNM;;
09610004;FLERIEN TT 2;PNM;;
09760351;FRANQUEVILLE ST 1;PNM;;
09270151;NQTT 2;PNM;;
09140055;OUISTREHAM AP 3;PNM;;
09760041;PAVILLY CP 1;PNM;;
09760107;QUEVILLY CP 2;PNM;;
09500117;SAINT PAIR BRICQUEVILLE TT 2;PNM;;
09760004;SPO ROUEN 5;PNM;;
09610087;ST GERMAIN DU CORBEIS 1;PNM;;
09500112;ST HILAIRE/PARIGNY 1;PNM;;
09760331;US C BOIS GUILLAUME 2;PNM;;
09610002;ARGENTAN BAYARD 4;R1F;;
09760414;ATT HAVRE / MONTIVILLIERS ENT 2;R1F;;
09610056;BRIOUZE / TINCHEBRAY ENT 1;R1F;;
09610119;MORTAGNE USTT 1;R1F;;
09760070;NEUFCHATEL / ASMATT ENT 1;R1F;;
09270151;NQTT 2;R1F;;
09270151;NQTT 3;R1F;;
09760004;SPO ROUEN TT 2;R1F;;
09610135;ACATT 1;R1M;;
09760107;ALCL GD QUEVILLY 2;R1M;;
09610009;ALENCON ETOILE 1;R1M;;
09270089;AP PACYMENILLES 1;R1M;;
09140128;AS Cormelles TT 1;R1M;;
09140128;AS Cormelles TT 2;R1M;;
09270187;AS HONG LANDIN 2;R1M;;
09760414;ATT HAVRE 4;R1M;;
09760414;ATT HAVRE 5;R1M;;
09140071;C HONFLEURAIS TT 1;R1M;;
09140007;CAENNAISE AG 2;R1M;;
09760425;CAMA TT 1;R1M;;
09760007;CEP ST NICOLAS 1;R1M;;
09760018;CP QUEVILLAIS 3;R1M;;
09760025;CS AUFFAY 1;R1M;;
09500012;EQUEURDREVILLE 1;R1M;;
09270006;EVREUX EC 1;R1M;;
09760270;FJ LA REMUEE TT 1;R1M;;
09610004;FLERIEN TT 3;R1M;;
09140123;FLEURY S/O CSP 1;R1M;;
09760107;GRAND QUEVILLY ALCL 1;R1M;;
09140032;LISIEUX ASTT 1;R1M;;
09500022;OC AGNEAUX  1;R1M;;
09500048;SAINT JAMES TT 2;R1M;;
09500003;SAINT LO PL 1;R1M;;
09500117;SAINT PAIR BRICQUEVILLE TT 3;R1M;;
09760168;SAINT PIERRAISE ENT 3;R1M;;
09760004;SPO ROUEN 6;R1M;;
09500159;ST PIERRE EGLISE 1;R1M;Dimanche;
09140224;TOURVILLE ASLO 1;R1M;;
09270063;TT DE L ARCHE 1;R1M;;
09270139;US GRAVIGNY TT 1;R1M;;
09760221;AA COURONNE 1;R2M;;
09760221;AA COURONNE 2;R2M;;
09760107;ALCL GD QUEVILLY 3;R2M;;
09610009;ALENCON ETOILE 2;R2M;;
09610009;ALENCON ETOILE 3;R2M;;
09610009;ALENCON ETOILE 4;R2M;;
09610002;ARGENTAN BAYARD 3;R2M;Dimanche;
09140128;AS Cormelles TT 3;R2M;;
09140128;AS Cormelles TT 4;R2M;;
09760129;ASC BONSECOURS 1;R2M;;
09500143;ASSUN TT 1;R2M;;
09500059;ATT DUCEY AVRANCHES 1;R2M;;
09760414;ATT HAVRE 6;R2M;;
09760136;BOLBEC/ NOINTOT,ENT 1;R2M;;
09140156;CAEN TTC 4;R2M;;
09140156;CAEN TTC 5;R2M;;
09140007;CAENNAISE AG 3;R2M;;
09140007;CAENNAISE AG 4;R2M;;
09270005;CAPA TT 1;R2M;;
09500030;CHERBOURG ASTT 1;R2M;;
09500009;CHERBOURG US 1;R2M;;
09500013;COUTANCES JA 1;R2M;;
09760041;CP PAVILLY 2;R2M;;
09760018;CP QUEVILLAIS 4;R2M;;
09760014;CP YVETOT 1;R2M;;
09610004;FLERIEN TT 4;R2M;;
09140123;FLEURY S/O CSP 2;R2M;;
09760351;FRANQUEVILLE ST 2;R2M;;
09760442;LE TRAIT YAINVILLE 1;R2M;;
09500124;LES PIEUX TT 1;R2M;Dimanche;
09760157;MT ST AIGNAN TT 1;R2M;;
09270151;NQTT 3;R2M;;
09270151;NQTT 4;R2M;;
09760034;OISSEL ETT 1;R2M;;
09140055;OUISTREHAM AP 4;R2M;;
09140055;OUISTREHAM AP 5;R2M;;
09500048;SAINT JAMES TT 3;R2M;Dimanche;
09760168;SAINT PIERRAISE ENT 4;R2M;;
09760168;SAINT PIERRAISE ENT 5;R2M;;
09760168;SAINT PIERRAISE ENT 6;R2M;;
09760004;SPO ROUEN 7;R2M;;
09500112;ST HILAIRE/PARIGNY 2;R2M;;
09500053;ST JEAN CHAMPS 1;R2M;Dimanche;
09500073;TORIGNAISE ESTT 1;R2M;;
09760416;TT BULLY 1;R2M;;
09270112;U S ETREPAGNY T 1;R2M;;
09760266;U S FECAMPOISE 1;R2M;;
09760331;US C BOIS GUILLAUME 3;R2M;;
09140009;A.G.DEAUVILLE/PONT-L'EVEQUE ENT 1;R3M;;CRA
09760107;ALCL GD QUEVILLY 4;R3M;;
09760315;AMFTT  1;R3M;;
09610002;ARGENTAN BAYARD 4;R3M;Dimanche;CRA
09270187;AS HONG LANDIN 3;R3M;;
09760396;AS MOTTEVILLE 1;R3M;;
09760333;AS ST ETIENNE ROUVRAY 1;R3M;;
09270071;AS VAUDREUIL TT 1;R3M;;
09760129;ASC BONSECOURS 2;R3M;;
09500143;ASSUN TT 2;R3M;;CRA
09610031;ATHIS CTT 1;R3M;;Club
09500059;ATT DUCEY AVRANCHES 2;R3M;;Club
09760414;ATT HAVRE 7;R3M;;
09140014;BAYEUX TT 2;R3M;;Club
09760420;BRETTEVILLE DU 1;R3M;;
09140071;C HONFLEURAISTT 2;R3M;;Club
09760425;CAMA TT 2;R3M;;
09500027;CARANTILLAISE 1;R3M;;Club
09500058;CARENTANAIS CL 1;R3M;;Club
09760007;CEP ST NICOLAS 2;R3M;;
09500009;CHERBOURG US 2;R3M;;Club
09140013;CONDE/ SLSN 1;R3M;;Club
09500013;COUTANCES JA 2;R3M;;Club
09760018;CP QUEVILLAIS 5;R3M;;
09760014;CP YVETOT 2;R3M;;
09270015;CS ANDELYS 1;R3M;;
09270156;CSBRTT 1;R3M;;
09760036;Dieppe U C TT 1;R3M;;
09500063;DONVILLE USM 1;R3M;;Club
09270069;E. GISORS TT 1;R3M;;
09500012;EQUEURDREVILLE 2;R3M;;Club
09270006;EVREUX EC 2;R3M;;
09140072;FALAISE ES 1;R3M;Dimanche;CRA
09140123;FLEURY S/O CSP 3;R3M;;CRA
09760374;FR ISNEAUVILLE 1;R3M;;
09140063;FRENOUVILLE TT 1;R3M;;Club
09760218;GRD COURONNE TT 1;R3M;;
09500025;ISIGNY-MONTIGNY 1;R3M;;CRA
09500015;MONTEBOURG SAEL 1;R3M;;Club
09760291;MONTIVILLIERS 1;R3M;;
09610119;MORTAGNE USTT 1;R3M;;Club
09500131;MORTAIN ENT 1;R3M;;Club
09760157;MT ST AIGNAN TT 2;R3M;;
09500022;OC AGNEAUX  2;R3M;;Club
09500022;OC AGNEAUX  3;R3M;;Club
09500093;QUERQUEVILLE AS 1;R3M;;CRA
09760382;RACING CLUB PORT HAVRE 1;R3M;;
09760011;S SOTTEVILLAIS 1;R3M;;
09760458;Safran NS 1;R3M;;
09500048;SAINT JAMES TT 4;R3M;Dimanche;Club
09500003;SAINT LO PL 2;R3M;;Club
09270021;SAINT MARCEL TT 1;R3M;;
09500117;SAINT PAIR BRICQUEVILLE TT 4;R3M;;Club
09760004;SPO ROUEN 8;R3M;;
09140078;ST ANDRE/ORNE USSA 1;R3M;;CRA
09610087;ST GERMAIN DU CORBEIS 2;R3M;;Club
